,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140901112500,16.3,88,0,0.09,0.74,332.3,2.6,0,1,13.1,13.1,13.2,1.2
20140901113000,16.2,88,0,0.33,1.34,331.9,0,0,1,13.1,13.1,13.1,1.2
20140901113500,16.1,88.1,0,0.38,1.04,331.9,0,0,1,13.2,13.2,13.2,1.2
20140901114000,16.1,88.1,0,0.13,0.44,331.9,0,0,1,13.2,13.2,13.2,1.2
20140901114500,16,88,0,0.16,0.74,331.9,0,0,1,13.2,13.2,13.2,1.2
20140901115000,16,88,0,0.08,0.74,331.9,0,0,1,13.1,13.1,13.1,1.2
20140901115500,16,87.8,0,0.09,0.59,331.9,0,0,1,13.1,13.1,13.1,1.2
20140902000000,16,87.7,0,0.09,0.59,331.9,0,0,1,13.1,13.1,13.1,1.3
20140902000500,15.9,87.1,0,0.35,1.79,290.3,21.3,0,1,13,13.1,13.1,1.3
20140902001000,15.9,86.3,0,0.03,0.59,279,0,0,1,13.1,13.1,13.1,1.4
20140902001500,16,84.7,0,0.55,1.93,350.8,36.8,0,1,13.1,13.1,13.1,1.6
20140902002000,16,83.7,0,0.44,2.24,309.5,34.2,0,1,13.1,13.1,13.1,1.7
20140902002500,16,83.1,0,0.52,3.43,290.8,3.1,0,1,13.1,13.1,13.1,1.7
20140902003000,15.9,82.3,0,0.58,2.24,299,7.7,0,1,13.1,13.1,13.1,1.8
20140902003500,15.9,81.3,0,0.26,0.89,297,0,0,1,13.1,13.1,13.1,1.9
20140902004000,15.9,81,0,0.43,1.63,282.2,12.4,0,1,13.1,13.1,13.1,2
20140902004500,15.8,80.8,0,0.47,1.34,303.9,54.8,0,1,13.1,13.1,13.1,2
20140902005000,15.8,80,0,0.58,1.49,288.6,5.6,0,1,13.1,13.1,13.1,2.1
20140902005500,15.7,80.2,0,0.32,1.19,290.5,0,0,1,13.1,13.1,13.1,2
20140902010000,15.6,79.5,0,0.66,1.79,308.3,14.7,0,1,13.1,13.1,13.1,2.1
20140902010500,15.6,79,0,0.4,1.34,332.2,0.8,0,1,13,13.1,13.1,2.1
